<Table:1>,Comprehensive System Test Checklist,,,,,,,
<Options:1:GlobalStatus>,OK,Warning,Critical,,,,,
<Options:2:PowerType>,AC,DC,Solar,,,,,
<No>,<CheckItems> Instruction,<int> Whole Num,<float> Decimal Num,<GlobalStatus:list> Status,"<list:Yes,No,N/A> Direct List",<Dynamic:variant> Dynamic Input,<Dynamic:DataType> Hidden Meta,<text> Remarks
<Section:1>,Basic Inputs Test,,,,,,,
1,Enter exactly 5 for testing,58,5.6,,,,,jj
2,Enter 3.14 for testing,32,,,No,jtyh,,
<Section:2>,Dropdown Inputs Test,,,,,,,
3,Select 'Warning',,,Warning,No,hyrfth,,
4,Select 'No',,,,,,,
<Section:3>,Dynamic Variant Test,,,,,,,
5,Should be standard text,,,,,,,
6,Should be numeric (decimals allowed),,,,,5,numeric,
7,Should be PowerType dropdown,,,,,DC,[PowerType],
8,hi,,,,,Critical,GlobalStatus,
,,,,,,,,
,,,,,,,,
<Table:2>,Comprehensive System Test Checklist,,,,,,,
<Options:1:GlobalStatus>,OK,Warning,Critical,,,,,
<Options:2:VoltType>,Milli,Micro,Nano,,,,,
<No>,<CheckItems> Instruction,<GlobalStatus:list> Status,"<list:Yes,No,N/A> Direct List",<Dynamic:variant> Dynamic Input,<Dynamic:DataType> Hidden Meta,<text> Remarks,,
<Section:1>,Basic Inputs Test,,,,,,,
1,Enter exactly 5 for testing,,,,,jj,,
2,Enter 3.14 for testing,,No,,[VoltType],,,
<Section:2>,Dropdown Inputs Test,,,,,,,
3,Select 'Warning',Warning,No,,,,,
4,Select 'No',,,,[VoltType],,,
<Section:3>,Dynamic Variant Test,,,,,,,
5,Should be standard text,,,,,,,
6,Should be numeric (decimals allowed),,,5,numeric,,,
7,Should be PowerType dropdown,,,,[VoltType],,,
8,hi,,,Critical,GlobalStatus,,,
