<Table:1>,Test Checklist Template,,,,,,,
<Options:1:GlobalStatus>,OK,Warning,Critical,,,,,
<Options:2:PowerType>,AC,DC,Solar,,,,,
<No>,<CheckItems> Instruction,<int> Whole Num,<float> Decimal Num,<GlobalStatus:list> Status,"<list:Yes,No,N/A> Direct List",<Dynamic:variant> Dynamic Input,<Dynamic:DataType> Hidden Meta,<text> Remarks
<Section:1>,Basic Inputs ,,,,,,,
1,Enter exactly 5 for testing,,,,,,,
2,Enter 3.14 for testing,,,,No,,,
<Section:2>,Dropdown Inputs,,,,,,,
3,Select 'Warning',,,,No,,,
4,Select 'No',,,,,,,
<Section:3>,Dynamic Variant ,,,,,,,
5,Should be standard text,,,,,,,
6,Should be numeric (decimals allowed),,,,,,numeric,
7,Should be PowerType dropdown,,,,,,[PowerType],
8,Random,,,,,,GlobalStatus,
